respondent,dept,n,dept_en,dept_fr
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",013,306,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
Number of employees,014,5392,Global Affairs Canada,Affaires mondiales Canada
Number of respondents,014,2545,Global Affairs Canada,Affaires mondiales Canada
Number of staffing advisors,014,22,Global Affairs Canada,Affaires mondiales Canada
Number of managers or supervisors,014,1038,Global Affairs Canada,Affaires mondiales Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",014,478,Global Affairs Canada,Affaires mondiales Canada
Number of employees,015,3810,Natural Resources Canada,Ressources naturelles Canada
Number of respondents,015,1689,Natural Resources Canada,Ressources naturelles Canada
Number of staffing advisors,015,15,Natural Resources Canada,Ressources naturelles Canada
Number of managers or supervisors,015,534,Natural Resources Canada,Ressources naturelles Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",015,271,Natural Resources Canada,Ressources naturelles Canada
Number of employees,016,9239,Royal Canadian Mounted Police,Gendarmerie royale du Canada
Number of respondents,016,4270,Royal Canadian Mounted Police,Gendarmerie royale du Canada
Number of staffing advisors,016,46,Royal Canadian Mounted Police,Gendarmerie royale du Canada
Number of managers or supervisors,016,1557,Royal Canadian Mounted Police,Gendarmerie royale du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",016,707,Royal Canadian Mounted Police,Gendarmerie royale du Canada
Number of employees,017,5085,Indigenous and Northern Affairs Canada,Affaires autochtones et du Nord Canada
Number of respondents,017,2132,Indigenous and Northern Affairs Canada,Affaires autochtones et du Nord Canada
Number of staffing advisors,017,27,Indigenous and Northern Affairs Canada,Affaires autochtones et du Nord Canada
Number of managers or supervisors,017,740,Indigenous and Northern Affairs Canada,Affaires autochtones et du Nord Canada
